#run	subrun	status
1066	5	good
1066	6	good
1066	7	good
1066	8	good
1066	9	good
1066	10	good
1066	11	good
1066	12	good
1066	13	good
1066	14	good
1066	15	good
1066	16	good
1066	17	good
1066	18	good
1066	19	good
1066	20	good
1066	21	good
1066	22	good
1066	23	good
1066	24	good
1066	25	good
1066	26	good
1066	27	good
1066	28	good
1066	29	good
1066	30	good
1066	31	good
1066	32	good
1066	33	good
1066	34	good
1066	35	good
1066	36	good
1066	37	good
1066	38	good
1066	39	good
1066	40	good
1066	41	good
1066	42	good
1066	43	good
1066	44	good
1066	45	good
1066	46	bad
1066	47	good
1066	48	good
1066	49	good
1066	50	good
1066	51	good
1066	52	good
1066	53	good
1066	54	good
1066	55	good
1066	56	good
1066	57	good
1066	58	good
1066	59	good
1066	60	good
1066	61	good
1066	62	good
1066	63	good
1066	64	good
1066	65	good
1066	66	good
1066	67	good
1066	68	good
1066	69	good
1066	70	good
1066	71	good
1066	72	good
1066	73	good
1066	74	good
1066	75	good
1066	76	good
1066	77	good
1066	78	good
1066	79	good
1066	80	good
1066	81	good
1066	82	good
1066	83	good
1067	1	good
1067	2	good
1067	3	good
1067	4	good
1067	5	good
1067	6	good
1067	7	good
1067	8	good
1067	9	good
1067	10	good
1067	11	good
1067	12	good
1067	13	good
1067	14	good
1067	15	good
1067	16	good
1067	17	good
1067	18	good
1067	19	good
1067	20	good
1067	21	good
1067	22	good
1067	23	good
1067	24	good
1067	25	good
1067	26	good
1067	27	good
1067	28	good
1067	29	good
1067	30	good
1067	31	good
1067	32	good
1067	33	good
1067	34	good
1067	35	good
1067	36	good
1067	37	good
1067	38	good
1067	39	good
1067	40	good
1067	41	good
1067	42	good
1067	43	good
1067	44	good
1067	45	good
1067	46	good
1067	47	good
1067	48	good
1067	49	good
1067	50	good
1067	51	good
1067	52	good
1067	53	good
1067	54	good
1067	55	good
1067	56	good
1067	57	good
1067	58	good
1067	59	good
1067	60	good
1067	61	good
1067	62	good
1067	63	good
1067	64	good
1067	65	good
1067	66	good
1067	67	good
1067	68	good
1067	69	good
1067	70	good
1067	71	good
1067	72	good
1067	73	good
1067	74	good
1067	75	good
1067	76	good
1067	77	good
1067	78	good
1067	79	good
1067	80	good
1067	81	good
1067	82	good
1067	83	good
1067	84	good
1067	85	good
1067	86	good
1067	87	good
1067	88	good
1067	89	good
1067	90	good
1067	91	good
1067	92	good
1067	93	good
1067	94	good
1067	95	good
1067	96	good
1067	97	good
1067	98	good
1067	99	good
1067	100	good
1067	101	good
1067	102	good
1067	103	good
1067	104	good
1067	105	good
1067	106	good
1067	107	good
1067	108	good
1067	109	good
1067	110	good
1067	111	good
1067	112	good
1067	113	good
1067	114	good
1067	115	good
1067	116	good
1067	117	good
1067	118	good
1067	119	good
1068	1	good
1068	2	good
1068	3	good
1068	4	good
1068	5	good
1068	6	good
1068	7	good
1068	8	good
1068	9	good
1068	10	good
1068	11	good
1068	12	good
1068	13	good
1068	14	good
1068	15	good
1068	16	good
1068	17	good
1068	18	good
1069	1	good
1069	2	good
1069	3	good
1069	4	good
1069	5	good
1069	6	good
1069	7	good
1069	8	good
1069	9	good
1069	10	good
1069	11	good
1069	12	good
1069	13	good
1069	14	good
1069	15	good
1069	16	good
1069	17	good
1069	18	good
1069	19	good
1069	20	good
1069	21	good
1069	22	good
1069	23	good
1069	24	good
1069	25	good
1069	26	good
1069	27	good
1069	28	good
1069	29	good
1069	30	good
1069	31	good
1069	32	good
1069	33	good
1069	34	good
1069	35	good
1069	36	good
1069	37	good
1069	38	good
1069	39	good
1069	40	good
1069	41	good
1069	42	good
1069	43	good
1069	44	good
1069	45	good
1069	46	good
1069	47	good
1069	48	good
1069	49	good
1069	50	good
1069	51	good
1069	52	good
1069	53	good
1078	1	good
1078	2	good
1078	3	good
1078	4	good
1079	1	good
1081	1	good
1082	1	bad
1082	2	bad
1082	3	bad
1082	4	bad
1082	5	bad
1082	6	bad
1082	7	bad
1083	1	good
1083	2	good
1083	3	good
1083	4	good
1083	5	good
1083	6	good
1083	7	good
1083	8	good
1083	9	good
1083	10	good
1083	11	good
1083	12	good
1083	13	good
1083	14	good
1083	15	good
1083	16	good
1083	17	good
1083	18	good
1083	19	good
1084	1	good
1085	1	bad
1086	1	good
1086	2	good
1087	1	good
1088	1	good
