% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,0.19685039,10.43280029,18.23280029,0.00002474,0.00058232,0.0000113,
-0.5905512,0.19685039,10.62959957,18.42959957,0.00001041,0.00059031,-0.00005207,
-0.5905512,0.19685039,10.8263998,18.6263998,0.00006557,0.00056185,-0.00002622,
-0.5905512,0.19685039,11.02340031,18.82340031,0.00000071,0.00053844,-0.00005351,
-0.5905512,0.39370078,0.0002,7.8002,0.00521144,0.14019326,0.048251,
-0.5905512,0.39370078,0.19660001,7.99660001,0.00444083,0.11899826,0.04058761,
-0.5905512,0.39370078,0.39340001,8.19340001,0.00356458,0.10077345,0.03370123,
-0.5905512,0.39370078,0.59039998,8.39039998,0.00293073,0.08563055,0.02796567,
-0.5905512,0.39370078,0.78719997,8.58719997,0.00239402,0.07301999,0.02328495,
-0.5905512,0.39370078,0.98400003,8.78400003,0.00191226,0.06244837,0.01940648,
-0.5905512,0.39370078,1.18079996,8.98079996,0.00152006,0.05363225,0.01623678,
-0.5905512,0.39370078,1.37759995,9.17759995,0.00122257,0.0461666,0.01363253,
-0.5905512,0.39370078,1.57459998,9.37459998,0.0010215,0.03984403,0.01141513,
-0.5905512,0.39370078,1.77139997,9.57139997,0.00082009,0.0345505,0.0096859,
-0.5905512,0.39370078,1.96819997,9.76819997,0.00065923,0.03008857,0.00818658,
-0.5905512,0.39370078,2.16499996,9.96499996,0.00054583,0.02622514,0.00692021,
-0.5905512,0.39370078,2.36199999,10.16199999,0.0004718,0.02293347,0.00585588,
-0.5905512,0.39370078,2.55879998,10.35879998,0.00038768,0.0201006,0.00503442,
-0.5905512,0.39370078,2.75559998,10.55559998,0.00027555,0.01767181,0.0042614,
-0.5905512,0.39370078,2.95239997,10.75239997,0.00026581,0.01565906,0.00364753,
-0.5905512,0.39370078,3.1494,10.9494,0.00020552,0.01381883,0.00320296,
-0.5905512,0.39370078,3.34619999,11.14619999,0.00017507,0.01227201,0.00272565,
-0.5905512,0.39370078,3.54320002,11.34320002,0.00011628,0.01090176,0.00230623,
-0.5905512,0.39370078,3.73979998,11.53979998,0.00010098,0.00977042,0.00202896,
-0.5905512,0.39370078,3.9368,11.7368,0.00011642,0.00869983,0.00174034,
-0.5905512,0.39370078,4.13360023,11.93360023,0.00012691,0.00778989,0.00156122,
-0.5905512,0.39370078,4.33039999,12.13039999,0.00005027,0.00701622,0.00129425,
-0.5905512,0.39370078,4.52720022,12.32720022,0.00005622,0.00637227,0.00113906,
-0.5905512,0.39370078,4.72440004,12.52440004,0.00003454,0.00572546,0.00098976,
-0.5905512,0.39370078,4.921,12.721,0.00002041,0.00519342,0.0008866,
-0.5905512,0.39370078,5.11780024,12.91780024,0.00000006,0.00473522,0.00079907,
-0.5905512,0.39370078,5.31459999,13.11459999,0.00002259,0.00429268,0.00070183,
-0.5905512,0.39370078,5.51160002,13.31160002,-0.00001997,0.00389246,0.00061955,
-0.5905512,0.39370078,5.70839977,13.50839977,-0.0000545,0.00349019,0.00051352,
-0.5905512,0.39370078,5.9053998,13.7053998,-0.00004057,0.00321433,0.00050173,
-0.5905512,0.39370078,6.10200024,13.90200024,-0.00003837,0.00294586,0.00038484,
-0.5905512,0.39370078,6.29920006,14.09920006,-0.00004877,0.00272534,0.00040431,
-0.5905512,0.39370078,6.49580002,14.29580002,-0.00001261,0.00250527,0.00031329,
