% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
7.00000257          -10.99798351          180.0579944          0.149848545          -0.425756091          0.003271091
8.99988849          -10.99807823          180.0582218          0.150531545          -0.424527091          0.001813091
9.000091121          -10.99821535          175.0582258          0.162343545          -0.497753091          0.005138091
8.999889394          -10.99798975          170.0580266          0.167270545          -0.575666091          0.009134091
8.999944806          -10.99815884          165.0579029          0.163991545          -0.653482091          0.013021091
8.999804542          -10.99833903          160.0580181          0.153982545          -0.726964091          0.015806091
9.000190915          -10.9983738          155.0582466          0.139904545          -0.792961091          0.016925091
8.999768375          -10.99807495          150.0579633          0.124703545          -0.850114091          0.016420091
8.999836763          -10.99808077          145.0583199          0.111237545          -0.899330091          0.014467091
9.000005551          -10.99825027          140.0583552          0.101445545          -0.941618091          0.011377091
8.999993303          -10.99825415          135.0571413          0.096176545          -0.980461091          0.007351091
8.999927079          -10.99805149          130.0579495          0.095436545          -1.018833091          0.002625091
9.000228772          -10.99843569          125.0580064          0.096532545          -1.060078091          -0.002375909
9.000205639          -10.99829277          120.0581092          0.095022545          -1.104406091          -0.007404909
8.99978028          -10.99835554          115.0580666          0.086558545          -1.147441091          -0.012416909
9.000145185          -10.9982066          110.0578923          0.072379545          -1.182882091          -0.017719909
-10.99985199          -8.998406656          110.0579489          0.055002545          -1.151444091          0.067663091
-11.0002169          -8.998055595          115.0581232          0.065303545          -1.122640091          0.058938091
-10.99979154          -8.997992821          120.0581659          0.072338545          -1.085979091          0.049819091
-10.9997684          -8.998135744          125.058063          0.075218545          -1.047740091          0.041303091
-11.0000701          -8.99825154          130.0580062          0.075949545          -1.010374091          0.033504091
-11.00000387          -8.998454203          135.0581979          0.078089545          -0.974083091          0.027013091
-10.99999162          -8.998450321          140.0579119          0.083092545          -0.935895091          0.021645091
-11.00016041          -8.998280825          145.0583766          0.091590545          -0.894209091          0.017259091
-11.0002288          -8.998275004          150.05802          0.102464545          -0.845766091          0.013939091
-10.99980626          -8.998073855          155.0583033          0.114856545          -0.789478091          0.011688091
-11.00019263          -8.998039081          160.0580748          0.126144545          -0.724530091          0.010704091
-11.00005237          -8.998358899          165.0579596          0.134208545          -0.652560091          0.011038091
-11.00010778          -8.9981898          170.0580833          0.136681545          -0.576258091          0.012273091
-10.99990605          -8.99841541          175.0582825          0.132506545          -0.499867091          0.013758091
-11.00010869          -8.99827828          180.0582785          0.123204545          -0.427458091          0.014635091
